"Measure","Time","Time_type","Geography","Geography_type","Geography_code","Ethnicity","Ethnicity_type","Age_Group","Value1","Value1_type","Value2","Value2_type","Numerator","Denominator"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","North East","Regional","E12000001","All","All","Age 25 to 29","100","% of Total Age Group Population","6.074131464","% of Total Ethnic Group Population","160720","160720"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","North West","Regional","E12000002","All","All","Age 25 to 29","100","% of Total Age Group Population","6.428867578","% of Total Ethnic Group Population","476805","476805"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","South East","Regional","E12000008","All","All","Age 25 to 29","100","% of Total Age Group Population","5.884857385","% of Total Ethnic Group Population","545975","545975"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","South West","Regional","E12000009","All","All","Age 25 to 29","100","% of Total Age Group Population","5.827297493","% of Total Ethnic Group Population","332195","332195"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","West Midlands","Regional","E12000005","All","All","Age 25 to 29","100","% of Total Age Group Population","6.268859644","% of Total Ethnic Group Population","373010","373010"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","Yorkshire and The Humber","Regional","E12000003","All","All","Age 25 to 29","100","% of Total Age Group Population","6.402737226","% of Total Ethnic Group Population","350870","350870"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","All - England and Wales","National","K04000001","Asian","ONS 2021 5+1","Age 25 to 29","10.66615237","% of Total Age Group Population","7.545447376","% of Total Ethnic Group Population","416165","3901735"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","England","National","E92000001","Asian","ONS 2021 5+1","Age 25 to 29","11.01449821","% of Total Age Group Population","7.541328311","% of Total Ethnic Group Population","409220","3715285"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","Wales","National","W92000004","Asian","ONS 2021 5+1","Age 25 to 29","3.716913835","% of Total Age Group Population","7.804932988","% of Total Ethnic Group Population","6930","186445"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","East Midlands","Regional","E12000004","Asian","ONS 2021 5+1","Age 25 to 29","9.595909287","% of Total Age Group Population","7.391966033","% of Total Ethnic Group Population","28900","301170"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","East of England","Regional","E12000006","Asian","ONS 2021 5+1","Age 25 to 29","7.590890931","% of Total Age Group Population","7.258342781","% of Total Ethnic Group Population","29450","387965"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","London","Regional","E12000007","Asian","ONS 2021 5+1","Age 25 to 29","18.23203717","% of Total Age Group Population","7.889626109","% of Total Ethnic Group Population","143405","786555"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","North East","Regional","E12000001","Asian","ONS 2021 5+1","Age 25 to 29","5.301144848","% of Total Age Group Population","8.700536125","% of Total Ethnic Group Population","8520","160720"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","North West","Regional","E12000002","Asian","ONS 2021 5+1","Age 25 to 29","9.813236019","% of Total Age Group Population","7.516164009","% of Total Ethnic Group Population","46790","476805"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","South East","Regional","E12000008","Asian","ONS 2021 5+1","Age 25 to 29","8.140482623","% of Total Age Group Population","6.832961796","% of Total Ethnic Group Population","44445","545975"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","South West","Regional","E12000009","Asian","ONS 2021 5+1","Age 25 to 29","3.770375833","% of Total Age Group Population","7.875872477","% of Total Ethnic Group Population","12525","332195"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","West Midlands","Regional","E12000005","Asian","ONS 2021 5+1","Age 25 to 29","15.36956114","% of Total Age Group Population","7.218675632","% of Total Ethnic Group Population","57330","373010"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","Yorkshire and The Humber","Regional","E12000003","Asian","ONS 2021 5+1","Age 25 to 29","10.79317126","% of Total Age Group Population","7.777937522","% of Total Ethnic Group Population","37870","350870"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","All - England and Wales","National","K04000001","Bangladeshi","ONS 2021 19+1","Age 25 to 29","1.25610786","% of Total Age Group Population","7.599863541","% of Total Ethnic Group Population","49010","3901735"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","England","National","E92000001","Bangladeshi","ONS 2021 19+1","Age 25 to 29","1.285634884","% of Total Age Group Population","7.587105177","% of Total Ethnic Group Population","47765","3715285"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","Wales","National","W92000004","Bangladeshi","ONS 2021 19+1","Age 25 to 29","0.662393735","% of Total Age Group Population","8.111658456","% of Total Ethnic Group Population","1235","186445"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","East Midlands","Regional","E12000004","Bangladeshi","ONS 2021 19+1","Age 25 to 29","0.498057575","% of Total Age Group Population","7.16161375","% of Total Ethnic Group Population","1500","301170"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","East of England","Regional","E12000006","Bangladeshi","ONS 2021 19+1","Age 25 to 29","0.993646334","% of Total Age Group Population","7.608802921","% of Total Ethnic Group Population","3855","387965"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","London","Regional","E12000007","Bangladeshi","ONS 2021 19+1","Age 25 to 29","3.087514541","% of Total Age Group Population","7.540754541","% of Total Ethnic Group Population","24285","786555"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","North East","Regional","E12000001","Bangladeshi","ONS 2021 19+1","Age 25 to 29","0.790194126","% of Total Age Group Population","7.791411043","% of Total Ethnic Group Population","1270","160720"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","North West","Regional","E12000002","Bangladeshi","ONS 2021 19+1","Age 25 to 29","0.997263032","% of Total Age Group Population","7.818151924","% of Total Ethnic Group Population","4755","476805"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","South East","Regional","E12000008","Bangladeshi","ONS 2021 19+1","Age 25 to 29","0.558633637","% of Total Age Group Population","7.65562249","% of Total Ethnic Group Population","3050","545975"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","South West","Regional","E12000009","Bangladeshi","ONS 2021 19+1","Age 25 to 29","0.305543431","% of Total Age Group Population","8.350473056","% of Total Ethnic Group Population","1015","332195"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","West Midlands","Regional","E12000005","Bangladeshi","ONS 2021 19+1","Age 25 to 29","1.552237205","% of Total Age Group Population","7.470967742","% of Total Ethnic Group Population","5790","373010"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","Yorkshire and The Humber","Regional","E12000003","Bangladeshi","ONS 2021 19+1","Age 25 to 29","0.638413087","% of Total Age Group Population","7.728135242","% of Total Ethnic Group Population","2240","350870"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","All - England and Wales","National","K04000001","Chinese","ONS 2021 19+1","Age 25 to 29","1.101048636","% of Total Age Group Population","9.640717219","% of Total Ethnic Group Population","42960","3901735"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","England","National","E92000001","Chinese","ONS 2021 19+1","Age 25 to 29","1.124812767","% of Total Age Group Population","9.692345158","% of Total Ethnic Group Population","41790","3715285"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","Wales","National","W92000004","Chinese","ONS 2021 19+1","Age 25 to 29","0.624849151","% of Total Age Group Population","8.079056865","% of Total Ethnic Group Population","1165","186445"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","East Midlands","Regional","E12000004","Chinese","ONS 2021 19+1","Age 25 to 29","0.670717535","% of Total Age Group Population","8.803660928","% of Total Ethnic Group Population","2020","301170"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","East of England","Regional","E12000006","Chinese","ONS 2021 19+1","Age 25 to 29","0.748778885","% of Total Age Group Population","7.561166059","% of Total Ethnic Group Population","2905","387965"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","London","Regional","E12000007","Chinese","ONS 2021 19+1","Age 25 to 29","2.22807051","% of Total Age Group Population","11.88135593","% of Total Ethnic Group Population","17525","786555"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","North East","Regional","E12000001","Chinese","ONS 2021 19+1","Age 25 to 29","0.883524141","% of Total Age Group Population","9.837201247","% of Total Ethnic Group Population","1420","160720"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","North West","Regional","E12000002","Chinese","ONS 2021 19+1","Age 25 to 29","0.986776565","% of Total Age Group Population","8.710543368","% of Total Ethnic Group Population","4705","476805"
