week,virus,age,percent,date_start
49,A,<5,0.00147274090470905,2024-12-02
50,fluB,<5,0,2024-12-09
50,H1,<5,0.16138562604877027,2024-12-09
50,H3,<5,0.01178192723767357,2024-12-09
50,A,<5,0,2024-12-09
51,fluB,<5,0,2024-12-16
51,H1,<5,0.212770895069442,2024-12-16
51,H3,<5,0.04713663465314746,2024-12-16
51,A,<5,0,2024-12-16
52,fluB,<5,0,2024-12-23
52,H1,<5,0.10657288728622973,2024-12-23
52,H3,<5,0.03681852261772998,2024-12-23
52,A,<5,0.03681852261773,2024-12-23
53,fluB,<5,0,2024-12-30
53,H1,<5,0.415518226284409,2024-12-30
53,H3,<5,0,2024-12-30
53,A,<5,0,2024-12-30
54,fluB,<5,0.0974151165696744,2025-01-06
54,H1,<5,0.0852583098289836,2025-01-06
54,H3,<5,0.232844799885751,2025-01-06
54,A,<5,0.05155485736727489,2025-01-06
55,fluB,<5,0.0412902995465747,2025-01-13
55,H1,<5,0.12796779606555028,2025-01-13
55,H3,<5,0.01488807169124231,2025-01-13
55,A,<5,0,2025-01-13
56,fluB,<5,0,2025-01-20
56,H1,<5,0.382644864150809,2025-01-20
56,H3,<5,0,2025-01-20
56,A,<5,0.0014638152022566,2025-01-20
57,fluB,<5,0.07483308936413335,2025-01-27
57,H1,<5,0.05875789924667085,2025-01-27
57,H3,<5,0.277027027027027,2025-01-27
57,A,<5,1.785140490551118e-5,2025-01-27
58,fluB,<5,0.06142668428005327,2025-02-03
58,H1,<5,0.10292227498304096,2025-02-03
58,H3,<5,0.03846085186904238,2025-02-03
58,A,<5,0.00147274090470903,2025-02-03
59,fluB,<5,0.03474775964868448,2025-02-10
59,H1,<5,0,2025-02-10
59,H3,<5,0.1614034774536759,2025-02-10
59,A,<5,0,2025-02-10
60,fluB,<5,0.12442429219179574,2025-02-17
60,H1,<5,0.02930308115248658,2025-02-17
60,H3,<5,0,2025-02-17
60,A,<5,0.00589988932128982,2025-02-17
61,fluB,<5,0.06977221607340534,2025-02-24
61,H1,<5,0,2025-02-24
61,H3,<5,0.23178264129387016,2025-02-24
61,A,<5,0.00146381520225635,2025-02-24
62,fluB,<5,0.08875718519047471,2025-03-03
62,H1,<5,0,2025-03-03
62,H3,<5,0.11970259559427364,2025-03-03
62,A,<5,0,2025-03-03
63,fluB,<5,0.05325074083330405,2025-03-10
63,H1,<5,0,2025-03-10
63,H3,<5,0.09292548823592406,2025-03-10
63,A,<5,0.03094541040379894,2025-03-10
64,fluB,<5,0.02068085258309882,2025-03-17
64,H1,<5,0,2025-03-17
64,H3,<5,0.11347245528223104,2025-03-17
64,A,<5,0.00441822271412761,2025-03-17
65,fluB,<5,0.023465671748367,2025-03-24
65,H1,<5,0.0337213038666142,2025-03-24
65,H3,<5,0.00456995965582485,2025-03-24
65,A,<5,0,2025-03-24
66,fluB,<5,0.02183226819950756,2025-03-31
66,H1,<5,0,2025-03-31
66,H3,<5,0.05570530900781922,2025-03-31
66,A,<5,0,2025-03-31
67,fluB,<5,0.04082616301903008,2025-04-07
67,H1,<5,0,2025-04-07
